module;constant;value_expression;category;provenance;confidence;justification;source;line
MechanicalLosses.js;FOUR_STROKE_CYCLE_ANGLE;4 * Math.PI;Dérivée;Calculée depuis géométrie/architecture;Haute;Valeur dérivée.;Dérivation code;32
MechanicalLosses.js;ATMOSPHERIC_PRESSURE;101325;Condition de référence;Pression atmosphérique 101 325 Pa;Haute;"Référence manométrique des pressions pour la loi de pertes ; non spécifique Toyota. Commentaire code : Pression de référence utilisée pour retirer la partie atmosphérique du pic de pression cylindre dans le terme de frottement dépendant de la charge.";Condition ambiante de simulation;36
MechanicalLosses.js;BASE_FMEP;45000;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : Frottements secs et limites de lubrification : segments, jupes, paliers, distribution. Cette partie subsiste même à faible régime.;Calibration projet;59
MechanicalLosses.js;LINEAR_FMEP_PER_PISTON_SPEED;2800;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : Terme approximativement proportionnel à la vitesse de glissement moyenne.;Calibration projet;62
MechanicalLosses.js;QUADRATIC_FMEP_PER_PISTON_SPEED_SQUARED;190;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : Terme quadratique : barbotage d'huile, ventilation du carter, pertes de distribution et croissance rapide des pertes à haut régime.;Calibration projet;66
MechanicalLosses.js;PEAK_PRESSURE_FRICTION_FACTOR;0.0035;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : Une pression de combustion plus élevée augmente les efforts sur les segments, la jupe et les paliers. Le coefficient multiplie la pression pic MANOMÉTRIQUE moyenne du dernier cycle complet.;Calibration projet;71
MechanicalLosses.js;MINIMUM_FMEP;15000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Bornes purement numériques. Elles empêchent une mauvaise initialisation de pression ou un RPM extrême de produire un couple de frottement aberrant.";Choix numérique projet;75
MechanicalLosses.js;MAXIMUM_FMEP;350000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;76
MechanicalLosses.js;ACCESSORY_CONSTANT_TORQUE;1.5;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : Les pompes à huile/eau, l'alternateur et la distribution prélèvent une petite part de couple qui n'est pas directement représentée par la pression cylindre. On utilise ici un terme constant + un terme croissant avec la vitesse.;Calibration projet;85
MechanicalLosses.js;ACCESSORY_VISCOUS_COEFFICIENT;0.0030;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel.;Calibration projet;86
MechanicalLosses.js;FUEL_CUT_THROTTLE_ON;0.020;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel. Commentaire code : L'hystérésis évite que l'état commute à chaque pas autour d'un seuil.;Calibration projet;97
MechanicalLosses.js;FUEL_CUT_THROTTLE_OFF;0.040;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel.;Calibration projet;98
MechanicalLosses.js;FUEL_CUT_RPM_ON;1700;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel.;Calibration projet;99
MechanicalLosses.js;FUEL_CUT_RPM_OFF;1200;Calibration pertes;Loi FMEP/accessoires;Faible à moyenne;Coefficients effectifs de pertes mécaniques non identifiés sur banc réel.;Calibration projet;100
Crankshaft.js;CRANKCASE_PRESSURE;101325;Condition de référence;Carter ventilé supposé à 101 325 Pa;Moyenne à haute;Hypothèse de carter à pression atmosphérique pour convertir pression cylindre en force nette. Commentaire code : Pression présente sous les pistons. Le carter est supposé ventilé à l'atmosphère. La force utile est donc calculée avec la pression manométrique.;Hypothèse de simulation;28
Crankshaft.js;TORQUE_DISPLAY_SMOOTHING_TAU;0.080;Instrumentation;Lissage d’affichage 80 ms;Haute comme choix logiciel;"Affecte uniquement les valeurs affichées et non la dynamique physique du moteur/banc. Commentaire code : La combustion produit un couple très pulsé. Ces valeurs lissées servent uniquement à l'interface ; ni la thermodynamique ni la dynamique du banc ne les utilisent pour faire accélérer le moteur.";Instrumentation projet;37
Crankshaft.js;FOUR_STROKE_CYCLE_ANGLE;4 * Math.PI;Dérivée;Cycle quatre temps = 4π rad;Haute;Identité cinématique du cycle 720°.;Définition mathématique;39
Crankshaft.js;TOTAL_DISPLACEMENT;SWEPT_VOLUME * CYLINDER_OFFSETS.length;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;40
Fuel.js;FUEL_DENSITY_KG_PER_L;0.745;Constante physique générique;Densité de travail essence : 0,745 kg/L;Moyenne;"Valeur générique utilisée uniquement pour convertir masse carburant en litres ; dépend du carburant et de la température.";Hypothèse carburant générique;10
Fuel.js;SMOOTHING_TAU;0.05;Instrumentation;Lissage débit carburant 50 ms;Haute comme choix logiciel;"Filtre d’affichage de la consommation instantanée ; n’altère pas la masse injectée. Commentaire code : La combustion est pulsée cylindre par cylindre. Un affichage direct serait à zéro pendant une grande partie du cycle puis présenterait des pics très élevés. Une moyenne exponentielle courte reproduit le comportement d'un instrument.";Instrumentation projet;15
EngineControl.js;ENGINE_OPERATING_STATES;"Object.freeze({ OFF: ""off"", CRANKING: ""cranking"", RUNNING: ""running"", STOPPING: ""stopping"", STALLED: ""stalled"" })";Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;21
EngineControl.js;IDLE_TARGET_RPM;900;Commande moteur calibrée;Consigne logique du contrôleur;Moyenne;Valeur de commande choisie pour reproduire qualitativement ralenti/rupteur. Commentaire code : Cible de ralenti à chaud. Cette valeur est une calibration de travail pour l'expérience interactive, et non une donnée constructeur certifiée.;Calibration projet;35
EngineControl.js;IDLE_CONTROL_THROTTLE_ENABLE;0.035;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Le correcteur de ralenti n'agit que lorsque le conducteur ne demande presque aucun couple. L'hystérésis évite des commutations rapides près du seuil.";Calibration projet;39
EngineControl.js;IDLE_CONTROL_THROTTLE_DISABLE;0.070;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;40
EngineControl.js;IDLE_AIR_FEED_FORWARD;0.24;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Commande de base du passage d'air de ralenti. Le correcteur PI ajoute ou retire de l'air autour de cette valeur.";Calibration projet;44
EngineControl.js;IDLE_AIR_KP;0.00150;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Gains du correcteur PI. La sortie commande une aire physique dans IntakeManifold.js, elle ne modifie jamais directement le RPM.";Calibration projet;48
EngineControl.js;IDLE_AIR_KI;0.00018;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;49
EngineControl.js;IDLE_AIR_KD;0.00100;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;50
EngineControl.js;IDLE_AIR_INTEGRAL_MIN;-0.30;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;52
EngineControl.js;IDLE_AIR_INTEGRAL_MAX;0.65;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;53
EngineControl.js;CRANKING_IDLE_AIR_COMMAND;0.62;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Pendant le lancement, une ouverture supplémentaire facilite le remplissage à très faible régime, comme le ferait un actuateur de ralenti de démarrage.";Calibration projet;57
EngineControl.js;IDLE_AIR_ACTUATOR_TIME_CONSTANT;0.080;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Après le démarrage, la commande de ralenti ne saute pas instantanément de sa valeur de lancement à sa valeur régulée.";Calibration projet;61
EngineControl.js;STARTER_STALL_TORQUE;150;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Couple maximal ramené au vilebrequin après le réducteur du démarreur. La valeur diminue avec le régime jusqu'à la vitesse à vide.";Calibration projet;69
EngineControl.js;STARTER_NO_LOAD_RPM;480;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;70
EngineControl.js;STARTER_ENGAGEMENT_TIME_CONSTANT;0.035;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Temps d'engagement électrique/mécanique du solénoïde et du pignon.";Calibration projet;73
EngineControl.js;STARTER_RELEASE_TIME_CONSTANT;0.020;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;74
EngineControl.js;STARTER_TORQUE_RIPPLE;0.12;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Petite ondulation du couple. Les à-coups visibles viennent surtout des phases de compression des quatre cylindres ; cette modulation ajoute le caractère électromécanique du démarreur sans devenir caricaturale.";Calibration projet;79
EngineControl.js;CRANK_REVOLUTIONS_BEFORE_COMBUSTION;3.25;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée. Commentaire code : La combustion est autorisée seulement après plusieurs tours complets. On voit ainsi réellement le moteur être entraîné avant les premières explosions.;Projet;83
EngineControl.js;MAXIMUM_CRANKING_TIME;5.0;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Sécurités de séquence.";Choix numérique projet;86
EngineControl.js;MINIMUM_CRANKING_RPM_FOR_COMBUSTION;120;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;87
EngineControl.js;RUNNING_DETECTION_RPM;230;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;88
EngineControl.js;CRANKING_AFR;12.8;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Mélange légèrement enrichi pendant le lancement, puis retour progressif à la richesse normale. Le modèle ne traite pas encore le film de carburant.";Calibration projet;92
EngineControl.js;NORMAL_AFR;14.7;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;93
EngineControl.js;BOOST_ENRICHMENT_START_PRESSURE;15000;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée. Commentaire code : Sous suralimentation, la masse de carburant reste calculée depuis la masse d'air réellement piégée. Cette loi ne crée donc pas de couple par cartographie : elle commande seulement une richesse plus sûre lorsque la pression augmente.;Projet;98
EngineControl.js;BOOST_ENRICHMENT_FULL_PRESSURE;70000;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;99
EngineControl.js;FULL_BOOST_AFR;11.8;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;100
EngineControl.js;AFR_TRANSITION_TIME_CONSTANT;0.20;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;101
EngineControl.js;CRANKING_IGNITION_TIMING_DEG;5;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Avance réduite pendant le lancement pour limiter le risque de retour contre le démarreur. Thermodynamics.js utilise directement cette valeur.";Calibration projet;105
EngineControl.js;RUNNING_IGNITION_TIMING_DEG;15;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;106
EngineControl.js;BOOST_IGNITION_RETARD_DEG_PER_BAR;5.0;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Retard analytique sous boost. Il protège le modèle des pressions de pointe excessives sans imposer une courbe de puissance. La combustion continue à dépendre de la masse, de la loi de Wiebe et du cycle P-V.";Calibration projet;111
EngineControl.js;MAXIMUM_BOOST_IGNITION_RETARD_DEG;6.0;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;112
EngineControl.js;HIGH_SPEED_IGNITION_ADVANCE_START_RPM;3500;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : À haut régime, le temps disponible par cycle diminue. Une petite avance analytique supplémentaire maintient le centre de combustion proche de son angle thermodynamiquement favorable, sans imposer une cartographie de couple.";Calibration projet;117
EngineControl.js;HIGH_SPEED_IGNITION_ADVANCE_FULL_RPM;6500;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;118
EngineControl.js;HIGH_SPEED_IGNITION_ADVANCE_MAX_DEG;3.0;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota.";Calibration projet;119
EngineControl.js;TARGET_COMBUSTION_CA50_DEG_AFTER_TDC;9.5;Commande / calibration;Paramètre du contrôleur simplifié;Moyenne;"Gain, seuil ou constante de temps du contrôle moteur ; pas une cartographie ECU Toyota. Commentaire code : Le calcul brut ne doit pas avancer la combustion au-delà du phasage MBT recherché lorsque le boost diminue à haut régime. Sans cette limite, la baisse de retard sous boost avançait artificiellement le CA50 après 6000 tr/min.";Calibration projet;124
EngineControl.js;STALL_DETECTION_RPM;350;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée. Commentaire code : Un bref passage sous le seuil ne suffit pas à déclarer un calage : les quatre cylindres produisent naturellement un régime instantané légèrement irrégulier.;Projet;132
EngineControl.js;STALL_DETECTION_DELAY;0.32;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée.;Projet;133
EngineControl.js;STOPPED_RPM;12;Commande / garde;Logique du contrôleur;Moyenne;Paramètre de gestion moteur simplifiée. Commentaire code : Sous cette vitesse, le moteur est considéré mécaniquement arrêté.;Projet;136
EngineControl.js;REV_LIMITER_CUT_RPM;7000;Commande moteur calibrée;Consigne logique du contrôleur;Moyenne;"Valeur de commande choisie pour reproduire qualitativement ralenti/rupteur. Commentaire code : Hystérésis demandée : coupure vers 7000 tr/min, reprise vers 6800 tr/min. Le 3S-GTE d'origine possède un papillon mécanique ; un rupteur crédible coupe donc ici le carburant/la combustion, pas physiquement le papillon.";Calibration projet;145
EngineControl.js;REV_LIMITER_RESUME_RPM;6800;Commande moteur calibrée;Consigne logique du contrôleur;Moyenne;Valeur de commande choisie pour reproduire qualitativement ralenti/rupteur.;Calibration projet;146
Dyno.js;DYNO_MODES;"Object.freeze({ INERTIA: ""inertia"", BRAKED: ""braked"", RPM_HOLD: ""rpmHold"" })";Infrastructure banc;Enumération des modes inertie / freiné / maintien RPM;Haute;Configuration logicielle, pas une propriété moteur.;Logiciel projet;19
Dyno.js;DYNO_GEAR_RATIO;0.972;Calibration banc;Rapport de travail proche de 1:1;Moyenne;Le code indique explicitement qu’il s’agit d’une calibration initiale et non d’une donnée Toyota certifiée. Commentaire code : Pour un banc à rouleaux, on choisit généralement un rapport proche de 1:1 afin de limiter les pertes et les vitesses internes de boîte.;Calibration projet;42
Dyno.js;FINAL_DRIVE_RATIO;4.285;Calibration banc;Rapport de travail 4,285;Moyenne;Valeur plausible/public, mais le module ne la revendique pas comme donnée Toyota certifiée.;Calibration projet / documentation secondaire à consolider;43
Dyno.js;OVERALL_DRIVE_RATIO;DYNO_GEAR_RATIO * FINAL_DRIVE_RATIO;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;44
Dyno.js;WHEEL_RADIUS;0.300;Estimation géométrique véhicule;Rayon dynamique de roue 0,300 m;Moyenne;"Rayon équivalent sous charge utilisé pour la cinématique virtuelle ; non revendiqué comme mesure ST205 précise. Commentaire code : Rayon dynamique du pneu sous charge. Il sert à convertir la vitesse angulaire de la roue en vitesse linéaire virtuelle de la voiture.";Estimation projet;48
Dyno.js;ROLLER_RADIUS;0.318;Définition banc;Rayon rouleau 0,318 m;Haute comme définition du banc virtuel;"Géométrie du banc simulé, librement choisie ; sans lien constructeur Toyota. Commentaire code : Rayon du rouleau du banc.";Définition banc projet;51
Dyno.js;ROLLER_TO_ENGINE_SPEED_RATIO;WHEEL_RADIUS / (ROLLER_RADIUS * OVERALL_DRIVE_RATIO);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;58
Dyno.js;ENGINE_ROTATING_INERTIA;0.150;Estimation / calibration banc;Inertie tournante moteur équivalente;Faible à moyenne;"Agrège vilebrequin, volant, embrayage et masses alternatives ; non mesurée sur le 3S-GTE du projet. Commentaire code : Ensemble tournant directement lié au vilebrequin : vilebrequin, volant moteur, embrayage et part équivalente des bielles/pistons.";Estimation/calibration projet;67
Dyno.js;GEARBOX_INPUT_INERTIA;0.018;Estimation / calibration banc;Inertie arbre entrée boîte;Faible à moyenne;Valeur lumped de la chaîne cinématique. Commentaire code : Inertie des arbres situés avant le rapport de boîte, donc déjà exprimée côté moteur et ajoutée directement.;Estimation/calibration projet;71
Dyno.js;DRIVELINE_OUTPUT_INERTIA;0.120;Estimation / calibration banc;Inertie transmission aval;Faible à moyenne;Valeur lumped côté roues. Commentaire code : Inertie des arbres après la réduction : arbre de sortie, transmission et pont. Elle doit être divisée par le carré du rapport global pour être ramenée au vilebrequin.;Estimation/calibration projet;76
Dyno.js;TOTAL_WHEEL_INERTIA;4.60;Estimation / calibration banc;Inertie équivalente des quatre roues/pneus;Faible à moyenne;Ordre de grandeur de travail, non issu d’une mesure du véhicule. Commentaire code : Inertie totale des quatre roues et pneus autour de leur axe. L'ordre de grandeur choisi correspond à environ 1.15 kg.m² par roue.;Estimation/calibration projet;80
Dyno.js;ROLLER_COUNT;2;Définition banc;Deux rouleaux principaux;Haute comme définition;Architecture choisie du banc virtuel. Commentaire code : Banc à deux rouleaux principaux. Chaque rouleau est assimilé à un cylindre plein : J = 1/2 * masse * rayon².;Définition banc projet;88
Dyno.js;SINGLE_ROLLER_MASS;350;Définition banc;Masse d’un rouleau : 350 kg;Haute comme définition;Paramètre du banc virtuel, pas du moteur.;Définition banc projet;89
Dyno.js;SOLID_CYLINDER_INERTIA_FACTOR;0.5;Constante mathématique;Facteur 1/2 pour un cylindre plein;Haute;Provient de J = 1/2 m r².;Mécanique classique;90
Dyno.js;PHYSICAL_ROLLER_INERTIA;ROLLER_COUNT * SOLID_CYLINDER_INERTIA_FACTOR * SINGLE_ROLLER_MASS * ROLLER_RADIUS * ROLLER_RADIUS;Dérivée;Calcul de l’inertie des rouleaux;Haute si géométrie du banc correcte;Dérivée de leur nombre, masse, rayon et du facteur de cylindre plein.;Dérivation code;92
Dyno.js;TARGET_EQUIVALENT_VEHICLE_MASS;1390;Public / calibration banc;Masse cible 1 390 kg;Moyenne;"Masse de travail utilisée pour l’inertie virtuelle ; les variantes ST205 publiques diffèrent légèrement selon année/grade. Commentaire code : Un banc moderne peut ajouter électroniquement une inertie virtuelle pour que la montée en vitesse corresponde à une masse véhicule donnée. Ici, la cible est la masse de travail de la Celica. Cette masse n'est pas ajoutée en plus de l'inertie des rouleaux : …";Toyota public, dépend de la variante;102
Dyno.js;PHYSICAL_ROLLER_EQUIVALENT_MASS;PHYSICAL_ROLLER_INERTIA / (ROLLER_RADIUS * ROLLER_RADIUS);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;108
Dyno.js;VIRTUAL_ADDED_MASS;Math.max( TARGET_EQUIVALENT_VEHICLE_MASS - PHYSICAL_ROLLER_EQUIVALENT_MASS, 0 );Dérivée;Complément de masse virtuelle;Haute si entrées correctes;Différence entre masse équivalente cible et masse déjà représentée par les rouleaux.;Dérivation code;111
Dyno.js;VIRTUAL_ROLLER_INERTIA;VIRTUAL_ADDED_MASS * ROLLER_RADIUS * ROLLER_RADIUS;Dérivée;Inertie virtuelle ajoutée;Haute si entrées correctes;Conversion de la masse virtuelle en inertie au rouleau.;Dérivation code;116
Dyno.js;TOTAL_ROLLER_INERTIA;PHYSICAL_ROLLER_INERTIA + VIRTUAL_ROLLER_INERTIA;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;120
Dyno.js;OUTPUT_DRIVELINE_INERTIA_AT_CRANK;( DRIVELINE_OUTPUT_INERTIA + TOTAL_WHEEL_INERTIA ) / Math.pow(OVERALL_DRIVE_RATIO, 2);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;132
Dyno.js;ROLLER_INERTIA_AT_CRANK;TOTAL_ROLLER_INERTIA * Math.pow(ROLLER_TO_ENGINE_SPEED_RATIO, 2);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;136
Dyno.js;TOTAL_EQUIVALENT_INERTIA;ENGINE_ROTATING_INERTIA + GEARBOX_INPUT_INERTIA + OUTPUT_DRIVELINE_INERTIA_AT_CRANK + ROLLER_INERTIA_AT_CRANK;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;139
Dyno.js;DISCONNECTED_INERTIA;ENGINE_ROTATING_INERTIA + GEARBOX_INPUT_INERTIA;Dérivée;Inertie moteur + entrée boîte au démarrage;Haute si entrées correctes;Somme des inerties restant couplées embrayage ouvert. Commentaire code : Pendant le démarrage, le moteur est assimilé à un véhicule démarré embrayage débrayé : le démarreur n'entraîne que le moteur et l'arbre d'entrée de boîte. Après la prise d'autonomie, la transmission et les rouleaux sont raccordés progressivement. Ce facteur…;Dérivation code;149
Dyno.js;CLUTCH_ENGAGEMENT_TIME_CONSTANT;0.90;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;151
Dyno.js;CLUTCH_RELEASE_TIME_CONSTANT;0.080;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;152
Dyno.js;DRIVELINE_CONSTANT_LOSS_TORQUE;2.0;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur. Commentaire code : Aucun rendement constant n'est appliqué directement au couple, car cela peut devenir ambigu lors du frein moteur. On retire plutôt un couple résistant qui s'oppose toujours au mouvement.;Calibration projet;165
Dyno.js;DRIVELINE_VISCOUS_LOSS;0.0040;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;166
Dyno.js;DRIVELINE_LOAD_LOSS_FACTOR;0.045;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;167
Dyno.js;MAX_ROLLER_BRAKE_TORQUE;2500;Définition / capacité banc;Couple maximum du frein virtuel : 2 500 N·m;Haute comme choix de banc;Capacité choisie du frein du banc, pas une limite du moteur. Commentaire code : Couple maximal directement appliqué sur l'axe des rouleaux. Une fois ramené au vilebrequin, il permet de charger largement le moteur atmosphérique actuel et le futur moteur turbocompressé.;Définition banc projet;176
Dyno.js;BRAKE_ACTUATOR_TIME_CONSTANT;0.060;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur. Commentaire code : Le frein ne passe pas instantanément de 0 à 100 %. Cette constante de temps reproduit l'inertie électromagnétique/hydraulique et stabilise l'intégration.;Calibration projet;180
Dyno.js;RPM_HOLD_KP;0.0014;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur. Commentaire code : Correcteur PI du mode maintien de régime. La sortie est une commande normalisée entre 0 et 1.;Calibration projet;184
Dyno.js;RPM_HOLD_KI;0.00045;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;185
Dyno.js;RPM_HOLD_INTEGRAL_MIN;0;Commande banc / saturation;Borne basse intégrateur PI;Haute comme choix de contrôle;Empêche une commande de frein négative.;Contrôle banc projet;186
Dyno.js;RPM_HOLD_INTEGRAL_MAX;1;Commande banc / saturation;Borne haute intégrateur PI;Haute comme choix de contrôle;Borne la commande du frein à sa plage normalisée.;Contrôle banc projet;187
Dyno.js;COASTDOWN_THROTTLE_FULL_BRAKE;0.015;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur. Commentaire code : Il est actif uniquement en mode INERTIA, lorsque le conducteur a relâché le papillon. La montée en régime à pleine charge reste ainsi strictement inchangée.;Calibration projet;201
Dyno.js;COASTDOWN_THROTTLE_RELEASE;0.060;Calibration banc;Paramètre de banc/chaîne cinématique;Moyenne;Valeur de travail pour obtenir un banc inertiel/freiné crédible, non revendiquée constructeur.;Calibration projet;202
